document_id,document_type,source_file,asset_id,asset_name,site,request_date,event_date,priority,status,issue_category,failure_description,recommended_action,requester,technician,vendor_name,part_code,part_name,quantity,estimated_cost,downtime_hours,normalized_issue_category,severity_score,urgency_flag,missing_information_flag,summary_for_business,route_to_team,extraction_confidence,raw_text_excerpt
WO-1005,maintenance_work_order,WO-1005.txt,HTX-901,Heat Exchanger C,RIO,2026-07-06,2026-07-06,urgent,open,mechanical,Thermal efficiency drop and suspected fouling.,Plan cleaning window and inspect pressure drop.,Bruno Lima,,,,,,5100,4.0,mechanical,45,normal,no,maintenance_work_order for HTX-901 at RIO with urgent priority. Thermal efficiency drop and suspected fouling.,mechanical_team,0.61,Work Order: WO-1005 Asset ID: HTX-901 Asset Name: Heat Exchanger C Site: RIO Request Date: 2026-07-06 Priority: urgent Category: mechanical Requester: Bruno Lima Failure Descriptio
WO-1007,maintenance_work_order,WO-1007.txt,GEN-808,Backup Generator 1,MCZ,2026-07-08,2026-07-08,critical,open,electrical,Battery bank failed startup readiness test.,Replace battery set and repeat startup test.,Daniel Rocha,,,,,,-900,5.0,electrical,100,high,no,maintenance_work_order for GEN-808 at MCZ with critical priority. Battery bank failed startup readiness test.,electrical_team,0.61,Work Order: WO-1007 Asset ID: GEN-808 Asset Name: Backup Generator 1 Site: MCZ Request Date: 2026-07-08 Priority: critical Category: electrical Requester: Daniel Rocha Failure Desc
TR-2001,technician_service_report,TR-2001.md,PMP-210,,RIO,2026-07-02,2026-07-02,,open,mechanical,Observed strong vibration and seal leakage during inspection round.,Urgent alignment check and seal replacement.,,Andre Silva,,SEAL-44,Mechanical Seal Kit,1,,5.5,mechanical,45,normal,yes,technician_service_report for PMP-210 at RIO with unclassified priority. Observed strong vibration and seal leakage during inspection round.,mechanical_team,0.61,# Technician Report TR-2001 - Event Date: 2026-07-02 - Site: RIO - Asset ID: PMP-210 - Technician: Andre Silva - Category: mechanical - Findings: Observed strong vibration and seal
TR-2002,technician_service_report,TR-2002.md,CMP-115,,MCZ,2026-07-03,2026-07-03,,in_progress,electrical,Breaker reset required after overload alarm.,Inspect overload relay and insulation resistance.,,Patricia Melo,,RELAY-19,Overload Relay,2,,2.0,electrical,40,normal,yes,technician_service_report for CMP-115 at MCZ with unclassified priority. Breaker reset required after overload alarm.,electrical_team,0.61,# Technician Report TR-2002 - Event Date: 2026-07-03 - Site: MCZ - Asset ID: CMP-115 - Technician: Patricia Melo - Category: electrical - Findings: Breaker reset required after ove
TR-2003,technician_service_report,TR-2003.md,VLV-332,,SSA,2026-07-04,2026-07-04,,completed,instrumentation,Positioner calibration drift confirmed.,Recalibrate and check pneumatic supply.,,Raquel Tavares,,- Part Name:,- Quantity:,- Downtime Hours: 1.0,,1.0,instrumentation,40,normal,yes,technician_service_report for VLV-332 at SSA with unclassified priority. Positioner calibration drift confirmed.,instrumentation_team,0.61,# Technician Report TR-2003 - Event Date: 2026-07-04 - Site: SSA - Asset ID: VLV-332 - Technician: Raquel Tavares - Category: instrumentation - Findings: Positioner calibration dri
TR-2004,technician_service_report,TR-2004.md,FAN-404,,VIX,2026-07-05,2026-07-05,,open,mechanical,Noise originates from loosened blade assembly.,Tighten assembly and inspect for imbalance.,,Paulo Souza,,BOLT-11,Blade Fastening Kit,1,,1.5,mechanical,40,normal,yes,technician_service_report for FAN-404 at VIX with unclassified priority. Noise originates from loosened blade assembly.,mechanical_team,0.61,# Technician Report TR-2004 - Event Date: 2026-07-05 - Site: VIX - Asset ID: FAN-404 - Technician: Paulo Souza - Category: mechanical - Findings: Noise originates from loosened bla
TR-2005,technician_service_report,TR-2005.md,HTX-901,,RIO,2026-07-06,2026-07-06,,pending_vendor,mechanical,Delta pressure indicates possible fouling build-up.,Open cleaning work package and inspect tubes.,,Andre Silva,,- Part Name:,- Quantity:,- Downtime Hours: 4.0,,4.0,mechanical,45,normal,yes,technician_service_report for HTX-901 at RIO with unclassified priority. Delta pressure indicates possible fouling build-up.,mechanical_team,0.61,# Technician Report TR-2005 - Event Date: 2026-07-06 - Site: RIO - Asset ID: HTX-901 - Technician: Andre Silva - Category: mechanical - Findings: Delta pressure indicates possible 
TR-2006,technician_service_report,TR-2006.md,GEN-808,,MCZ,2026-07-07,2026-07-07,,open,electrical,Battery voltage below acceptable startup threshold.,Replace cells and perform load bank test.,,Carla Mendes,,BAT-88,Industrial Battery Module,4,,4.5,electrical,45,normal,yes,technician_service_report for GEN-808 at MCZ with unclassified priority. Battery voltage below acceptable startup threshold.,electrical_team,0.61,# Technician Report TR-2006 - Event Date: 2026-07-07 - Site: MCZ - Asset ID: GEN-808 - Technician: Carla Mendes - Category: electrical - Findings: Battery voltage below acceptable 
IN-3005,inspection_checklist,inspection_batch_a.csv,,,VIX,,2026-07-06,medium,open,inspection,Missing asset reference in checklist.,Review document before intake approval.,,,,,,,,,inspection,55,normal,yes,inspection_checklist for unknown asset at VIX with medium priority. Missing asset reference in checklist.,inspection_team,0.61,document_id=IN-3005 event_date=2026-07-06 asset_id= site=VIX priority=medium issue_category=inspection failure_description=Missing asset reference in checklist. recommended_action=
VR-4003,vendor_service_request,VR-4003.txt,PMP-455,,RIO,2026-07-07,Site: RIO,medium,approved,vendor_support,Need quote for repainting and coating touch-up.,Request vendor and approval path.,,,Category: vendor_support,,,,1800,,vendor_support,55,normal,no,vendor_service_request for PMP-455 at RIO with medium priority. Need quote for repainting and coating touch-up.,vendor_management,0.61,Subject: Service Request VR-4003 for PMP-455 Request Date: 2026-07-07 Required By: Site: RIO Priority: medium Vendor: Category: vendor_support Details: Need quote for repainting an
