document_id,document_type,source_file,asset_id,asset_name,site,request_date,event_date,priority,status,issue_category,failure_description,recommended_action,requester,technician,vendor_name,part_code,part_name,quantity,estimated_cost,downtime_hours,normalized_issue_category,severity_score,urgency_flag,missing_information_flag,summary_for_business,route_to_team,extraction_confidence,raw_text_excerpt
WO-1001,maintenance_work_order,WO-1001.txt,PMP-210,Booster Pump A,RIO,2026-07-02,2026-07-02,critical,open,mechanical,Abnormal vibration near coupling and oil leak around seal housing.,"Inspect alignment, replace seal, and validate bearing condition.",Mariana Costa,,,,,,7800,6.5,mechanical,100,high,no,maintenance_work_order for PMP-210 at RIO with critical priority. Abnormal vibration near coupling and oil leak around seal housing.,mechanical_team,0.92,Work Order: WO-1001 Asset ID: PMP-210 Asset Name: Booster Pump A Site: RIO Request Date: 2026-07-02 Priority: critical Category: mechanical Requester: Mariana Costa Failure Descrip
WO-1002,maintenance_work_order,WO-1002.txt,CMP-115,Air Compressor 2,MCZ,2026-07-03,2026-07-03,high,in_progress,electrical,Motor trip observed twice during peak load.,"Check MCC panel, cable insulation, and overload settings.",Felipe Ramos,,,,,,4300,3.0,electrical,75,high,no,maintenance_work_order for CMP-115 at MCZ with high priority. Motor trip observed twice during peak load.,electrical_team,0.92,Work Order: WO-1002 Asset ID: CMP-115 Asset Name: Air Compressor 2 Site: MCZ Request Date: 2026-07-03 Priority: high Category: electrical Requester: Felipe Ramos Failure Descriptio
WO-1003,maintenance_work_order,WO-1003.txt,VLV-332,Control Valve 7,SSA,2026-07-04,2026-07-04,medium,open,instrumentation,Position feedback inconsistent with local indicator.,Recalibrate positioner and inspect signal wiring.,Ana Beatriz,,,,,,1600,1.5,instrumentation,55,normal,no,maintenance_work_order for VLV-332 at SSA with medium priority. Position feedback inconsistent with local indicator.,instrumentation_team,0.92,Work Order: WO-1003 Asset ID: VLV-332 Asset Name: Control Valve 7 Site: SSA Request Date: 2026-07-04 Priority: medium Category: instrumentation Requester: Ana Beatriz Failure Descr
WO-1004,maintenance_work_order,WO-1004.txt,Asset Name: Cooling Fan 4,Cooling Fan 4,VIX,2026-07-05,2026-07-05,high,open,mechanical,Excessive noise reported during startup.,Inspect blades and fastening points.,Carlos Nunes,,,,,,1200,2.0,mechanical,75,high,no,maintenance_work_order for Asset Name: Cooling Fan 4 at VIX with high priority. Excessive noise reported during startup.,mechanical_team,0.92,Work Order: WO-1004 Asset ID: Asset Name: Cooling Fan 4 Site: VIX Request Date: 2026-07-05 Priority: high Category: mechanical Requester: Carlos Nunes Failure Description: Excessiv
WO-1006,maintenance_work_order,WO-1006.txt,PMP-455,Transfer Pump B,RIO,2026-07-07,2026-07-07,low,closed,inspection,Routine inspection created for small casing paint damage.,Schedule coating touch-up in next maintenance window.,Luciana Alves,,,,,,350,0.0,inspection,35,normal,no,maintenance_work_order for PMP-455 at RIO with low priority. Routine inspection created for small casing paint damage.,inspection_team,0.92,Work Order: WO-1006 Asset ID: PMP-455 Asset Name: Transfer Pump B Site: RIO Request Date: 2026-07-07 Priority: low Category: inspection Requester: Luciana Alves Failure Description
WO-1008,maintenance_work_order,WO-1008.txt,TK-120,Storage Tank 12,SSA,2026-07-09,2026-07-09,medium,approved,inspection,Level gauge verification requested before audit.,Perform inspection and record calibration evidence.,Julio Moreira,,,,,,800,1.0,inspection,55,normal,no,maintenance_work_order for TK-120 at SSA with medium priority. Level gauge verification requested before audit.,inspection_team,0.92,Work Order: WO-1008 Asset ID: TK-120 Asset Name: Storage Tank 12 Site: SSA Request Date: 2026-07-09 Priority: medium Category: inspection Requester: Julio Moreira Failure Descripti
IN-3001,inspection_checklist,inspection_batch_a.csv,PMP-210,,RIO,,2026-07-02,high,open,inspection,Thermography found hot coupling area.,Schedule vibration route and thermal follow-up.,,,,,,,,,inspection,75,high,no,inspection_checklist for PMP-210 at RIO with high priority. Thermography found hot coupling area.,inspection_team,0.92,document_id=IN-3001 event_date=2026-07-02 asset_id=PMP-210 site=RIO priority=high issue_category=inspection failure_description=Thermography found hot coupling area. recommended_ac
IN-3002,inspection_checklist,inspection_batch_a.csv,TK-120,,SSA,,2026-07-03,low,closed,inspection,No abnormality detected. Routine compliance check.,Close checklist and archive evidence.,,,,,,,,,inspection,35,normal,no,inspection_checklist for TK-120 at SSA with low priority. No abnormality detected. Routine compliance check.,inspection_team,0.92,document_id=IN-3002 event_date=2026-07-03 asset_id=TK-120 site=SSA priority=low issue_category=inspection failure_description=No abnormality detected. Routine compliance check. rec
IN-3003,inspection_checklist,inspection_batch_a.csv,CMP-115,,MCZ,,2026-07-04,medium,open,inspection,Air line moisture above expected range.,Inspect dryer and drain schedule.,,,,,,,,,inspection,55,normal,no,inspection_checklist for CMP-115 at MCZ with medium priority. Air line moisture above expected range.,inspection_team,0.92,document_id=IN-3003 event_date=2026-07-04 asset_id=CMP-115 site=MCZ priority=medium issue_category=inspection failure_description=Air line moisture above expected range. recommende
IN-3004,inspection_checklist,inspection_batch_a.csv,VLV-332,,SSA,,2026-07-05,medium,open,instrumentation,Signal fluctuation during travel test.,Inspect cabling and calibration setup.,,,,,,,,,instrumentation,55,normal,no,inspection_checklist for VLV-332 at SSA with medium priority. Signal fluctuation during travel test.,instrumentation_team,0.92,document_id=IN-3004 event_date=2026-07-05 asset_id=VLV-332 site=SSA priority=medium issue_category=instrumentation failure_description=Signal fluctuation during travel test. recomm
IN-3006,inspection_checklist,inspection_batch_a.csv,GEN-808,,MCZ,,2026-07-07,high,open,electrical,Starter test failed due to voltage drop.,Prioritize battery replacement.,,,,,,,,,electrical,75,high,no,inspection_checklist for GEN-808 at MCZ with high priority. Starter test failed due to voltage drop.,electrical_team,0.92,document_id=IN-3006 event_date=2026-07-07 asset_id=GEN-808 site=MCZ priority=high issue_category=electrical failure_description=Starter test failed due to voltage drop. recommended
VR-4001,vendor_service_request,VR-4001.txt,HTX-901,,RIO,2026-07-05,2026-07-08,high,pending_vendor,vendor_support,Requesting cleaning contractor mobilization for exchanger fouling.,Confirm availability and quote window.,,,ThermoServ,,,,12500,,vendor_support,80,high,no,vendor_service_request for HTX-901 at RIO with high priority. Requesting cleaning contractor mobilization for exchanger fouling.,vendor_management,0.92,Subject: Service Request VR-4001 for HTX-901 Request Date: 2026-07-05 Required By: 2026-07-08 Site: RIO Priority: high Vendor: ThermoServ Category: vendor_support Details: Requesti
VR-4002,vendor_service_request,VR-4002.txt,GEN-808,,MCZ,2026-07-06,2026-07-10,critical,open,vendor_support,Need urgent delivery of startup battery modules.,Expedite vendor response and reserve test team.,,,PowerCore,,,,9400,,vendor_support,95,high,no,vendor_service_request for GEN-808 at MCZ with critical priority. Need urgent delivery of startup battery modules.,vendor_management,0.92,Subject: Service Request VR-4002 for GEN-808 Request Date: 2026-07-06 Required By: 2026-07-10 Site: MCZ Priority: critical Vendor: PowerCore Category: vendor_support Details: Need 
VR-4004,vendor_service_request,VR-4004.txt,CMP-115,,MCZ,2026-07-08,2026-07-12,high,in_progress,electrical,Specialist support requested for MCC inspection.,Coordinate shutdown slot and access permit.,,,ElectroWorks,,,,6200,,electrical,75,high,no,vendor_service_request for CMP-115 at MCZ with high priority. Specialist support requested for MCC inspection.,electrical_team,0.92,Subject: Service Request VR-4004 for CMP-115 Request Date: 2026-07-08 Required By: 2026-07-12 Site: MCZ Priority: high Vendor: ElectroWorks Category: electrical Details: Specialist
PR-5001,spare_parts_request,parts_requests_july.csv,PMP-210,,RIO,2026-07-05,2026-07-05,high,approved,general_ops,,,Mariana Costa,,,SEAL-44,Mechanical Seal Kit,1,1200,,general_ops,75,high,no,spare_parts_request for PMP-210 at RIO with high priority. No failure description provided.,operations_support,0.92,document_id=PR-5001 request_date=2026-07-05 asset_id=PMP-210 site=RIO priority=high requester=Mariana Costa part_code=SEAL-44 part_name=Mechanical Seal Kit quantity=1 estimated_cos
PR-5002,spare_parts_request,parts_requests_july.csv,CMP-115,,MCZ,2026-07-06,2026-07-06,high,approved,general_ops,,,Felipe Ramos,,,RELAY-19,Overload Relay,2,900,,general_ops,75,high,no,spare_parts_request for CMP-115 at MCZ with high priority. No failure description provided.,operations_support,0.92,document_id=PR-5002 request_date=2026-07-06 asset_id=CMP-115 site=MCZ priority=high requester=Felipe Ramos part_code=RELAY-19 part_name=Overload Relay quantity=2 estimated_cost=900
PR-5003,spare_parts_request,parts_requests_july.csv,GEN-808,,MCZ,2026-07-07,2026-07-07,critical,open,general_ops,,,Daniel Rocha,,,BAT-88,Industrial Battery Module,4,4800,,general_ops,95,high,no,spare_parts_request for GEN-808 at MCZ with critical priority. No failure description provided.,operations_support,0.92,document_id=PR-5003 request_date=2026-07-07 asset_id=GEN-808 site=MCZ priority=critical requester=Daniel Rocha part_code=BAT-88 part_name=Industrial Battery Module quantity=4 estim
PR-5004,spare_parts_request,parts_requests_july.csv,VLV-332,,SSA,2026-07-08,2026-07-08,medium,closed,general_ops,,,Ana Beatriz,,,AIR-22,Pneumatic Filter,1,220,,general_ops,55,normal,no,spare_parts_request for VLV-332 at SSA with medium priority. No failure description provided.,operations_support,0.92,document_id=PR-5004 request_date=2026-07-08 asset_id=VLV-332 site=SSA priority=medium requester=Ana Beatriz part_code=AIR-22 part_name=Pneumatic Filter quantity=1 estimated_cost=22
